//ID,AvatarPartType,RES
//Beard,,
42008,Hair,Hair/Male/Hair Male 02 Black
42009,Hair,Hair/Male/Hair Male 02 Blonde
42010,Hair,Hair/Male/Hair Male 02 Brown
42011,Hair,Hair/Male/Hair Male 02 Cyan
42012,Hair,Hair/Male/Hair Male 02 Grey
42013,Hair,Hair/Male/Hair Male 02 Purple
42014,Hair,Hair/Male/Hair Male 02 Red
42015,Hair,Hair/Male/Hair Male 03 Old Black
42016,Hair,Hair/Male/Hair Male 03 Old Blonde
42017,Hair,Hair/Male/Hair Male 03 Old Brown
42018,Hair,Hair/Male/Hair Male 03 Old Cyan
42019,Hair,Hair/Male/Hair Male 03 Old Grey
42020,Hair,Hair/Male/Hair Male 03 Old Purple
42021,Hair,Hair/Male/Hair Male 03 Old Red
42022,Hair,Hair/Male/Hair Male 04 Black
42023,Hair,Hair/Male/Hair Male 04 Blonde
42024,Hair,Hair/Male/Hair Male 04 Brown
42025,Hair,Hair/Male/Hair Male 04 Cyan
42026,Hair,Hair/Male/Hair Male 04 Grey
42027,Hair,Hair/Male/Hair Male 04 Purple
42028,Hair,Hair/Male/Hair Male 04 Red
42029,Hair,Hair/Male/Hair Male 05 Black
42030,Hair,Hair/Male/Hair Male 05 Blonde
42031,Hair,Hair/Male/Hair Male 05 Brown
42032,Hair,Hair/Male/Hair Male 05 Cyan
42033,Hair,Hair/Male/Hair Male 05 Grey
42034,Hair,Hair/Male/Hair Male 05 Purple
42035,Hair,Hair/Male/Hair Male 05 Red
42036,Hair,Hair/Male/Hair Male 06 Black
42037,Hair,Hair/Male/Hair Male 06 Blonde
42038,Hair,Hair/Male/Hair Male 06 Brown
42039,Hair,Hair/Male/Hair Male 06 Cyan
42040,Hair,Hair/Male/Hair Male 06 Grey
42041,Hair,Hair/Male/Hair Male 06 Purple
42042,Hair,Hair/Male/Hair Male 06 Red
42043,Hair,Hair/Male/Hair Male 07 Black
42044,Hair,Hair/Male/Hair Male 07 Blonde
42045,Hair,Hair/Male/Hair Male 07 Brown
42046,Hair,Hair/Male/Hair Male 07 Cyan
42047,Hair,Hair/Male/Hair Male 07 Grey
42048,Hair,Hair/Male/Hair Male 07 Purple
42049,Hair,Hair/Male/Hair Male 07 Red
42050,Hair,Hair/Male/Hair Male 08 Black
42051,Hair,Hair/Male/Hair Male 08 Blonde
42052,Hair,Hair/Male/Hair Male 08 Brown
42053,Hair,Hair/Male/Hair Male 08 Cyan
42054,Hair,Hair/Male/Hair Male 08 Grey
42055,Hair,Hair/Male/Hair Male 08 Purple
42056,Hair,Hair/Male/Hair Male 08 Red
42057,Hair,Hair/Male/Hair Male 09 Black
42058,Hair,Hair/Male/Hair Male 09 Blonde
42059,Hair,Hair/Male/Hair Male 09 Brown
42060,Hair,Hair/Male/Hair Male 09 Cyan
42061,Hair,Hair/Male/Hair Male 09 Grey
42062,Hair,Hair/Male/Hair Male 09 Purple
42063,Hair,Hair/Male/Hair Male 09 Red
42064,Hair,Hair/Male/Hair Male 10 Black
42065,Hair,Hair/Male/Hair Male 10 Blonde
42066,Hair,Hair/Male/Hair Male 10 Brown
42067,Hair,Hair/Male/Hair Male 10 Cyan
42068,Hair,Hair/Male/Hair Male 10 Grey
42069,Hair,Hair/Male/Hair Male 10 Purple
42070,Hair,Hair/Male/Hair Male 10 Red
42071,Hair,Hair/Male/Hair Male 11 Black
42072,Hair,Hair/Male/Hair Male 11 Blonde
42073,Hair,Hair/Male/Hair Male 11 Brown
42074,Hair,Hair/Male/Hair Male 11 Cyan
42075,Hair,Hair/Male/Hair Male 11 Grey
42076,Hair,Hair/Male/Hair Male 11 Purple
42077,Hair,Hair/Male/Hair Male 11 Red
42078,Hair,Hair/Male/Hair Male 12 Black
42079,Hair,Hair/Male/Hair Male 12 Blonde
42080,Hair,Hair/Male/Hair Male 12 Brown
42081,Hair,Hair/Male/Hair Male 12 Cyan
42082,Hair,Hair/Male/Hair Male 12 Grey
42083,Hair,Hair/Male/Hair Male 12 Purple
42084,Hair,Hair/Male/Hair Male 12 Red
42085,Hair,Hair/Male/Hair Male 13 Black
42086,Hair,Hair/Male/Hair Male 13 Blonde
42087,Hair,Hair/Male/Hair Male 13 Brown
42088,Hair,Hair/Male/Hair Male 13 Cyan
42089,Hair,Hair/Male/Hair Male 13 Grey
42090,Hair,Hair/Male/Hair Male 13 Purple
42091,Hair,Hair/Male/Hair Male 13 Red
42092,Hair,Hair/Male/Hair Male 14 Black
42093,Hair,Hair/Male/Hair Male 14 Blonde
42094,Hair,Hair/Male/Hair Male 14 Brown
42095,Hair,Hair/Male/Hair Male 14 Cyan
42096,Hair,Hair/Male/Hair Male 14 Grey
42097,Hair,Hair/Male/Hair Male 14 Purple
42098,Hair,Hair/Male/Hair Male 14 Red
42099,Hair,Hair/Male/Hair Male 15 Black
42100,Hair,Hair/Male/Hair Male 15 Blonde
42101,Hair,Hair/Male/Hair Male 15 Brown
42102,Hair,Hair/Male/Hair Male 15 Cyan
42103,Hair,Hair/Male/Hair Male 15 Grey
42104,Hair,Hair/Male/Hair Male 15 Purple
42105,Hair,Hair/Male/Hair Male 15 Red
42106,Hair,Hair/Male/Hair Male 16 Black
42107,Hair,Hair/Male/Hair Male 16 Blonde
42108,Hair,Hair/Male/Hair Male 16 Brown
42109,Hair,Hair/Male/Hair Male 16 Cyan
42110,Hair,Hair/Male/Hair Male 16 Grey
42111,Hair,Hair/Male/Hair Male 16 Purple
42112,Hair,Hair/Male/Hair Male 16 Red
42113,Hair,Hair/Male/Hair Male 17 Aqua
42114,Hair,Hair/Male/Hair Male 17 Black
42115,Hair,Hair/Male/Hair Male 17 Blonde
42116,Hair,Hair/Male/Hair Male 17 Brown
42117,Hair,Hair/Male/Hair Male 17 Cyan
42118,Hair,Hair/Male/Hair Male 17 Fire
42119,Hair,Hair/Male/Hair Male 17 Grey
42120,Hair,Hair/Male/Hair Male 17 Purple
42121,Hair,Hair/Male/Hair Male 17 Red
42122,Hair,Hair/Male/Hair Male 18 Black
42123,Hair,Hair/Male/Hair Male 18 Blonde
42124,Hair,Hair/Male/Hair Male 18 Brown
42125,Hair,Hair/Male/Hair Male 18 Cyan
42126,Hair,Hair/Male/Hair Male 18 Grey
42127,Hair,Hair/Male/Hair Male 18 Purple
42128,Hair,Hair/Male/Hair Male 18 Red
//Horns,,
60001,Horns,Horns/Antlers Blue
60002,Horns,Horns/Antlers Dark
60003,Horns,Horns/Antlers Green
60004,Horns,Horns/Antlers Light
60005,Horns,Horns/Antlers Purple
60006,Horns,Horns/Antlers Red
60007,Horns,Horns/Horn 01 Front Black
60008,Horns,Horns/Horn 01 Front Red
60009,Horns,Horns/Horn 01 Front White
60010,Horns,Horns/Horn 02 Side Black Blue
60011,Horns,Horns/Horn 02 Side Black Green
60012,Horns,Horns/Horn 02 Side Black Orange
60013,Horns,Horns/Horn 02 Side Black Purple
60014,Horns,Horns/Horn 02 Side Black Red
60015,Horns,Horns/Horn 02 Side Green Green
60016,Horns,Horns/Horn 02 Side Red Yellow
60017,Horns,Horns/Horn 02 Side White
60018,Horns,Horns/Horn 02 Side Yellow
60019,Horns,Horns/Horn 03 Blue
60020,Horns,Horns/Horn 03 Green
60021,Horns,Horns/Horn 03 Purple
60022,Horns,Horns/Horn 03 Red
60023,Horns,Horns/Horn 03 Yellow
//Bag,,
80001,Bag,Bag/Bag 01 Blue
80002,Bag,Bag/Bag 01 Green
80003,Bag,Bag/Bag 01 Magenta
80004,Bag,Bag/Bag 01 Purple
80005,Bag,Bag/Bag 01 Red
80006,Bag,Bag/Bag 01 Yellow
80007,Bag,Bag/Basket 01 Blue Tomato
80008,Bag,Bag/Basket 01 Blue Vege
80009,Bag,Bag/Basket 01 Blue Water
80010,Bag,Bag/Basket 01 Brown Tomato
80011,Bag,Bag/Basket 01 Brown Vege
80012,Bag,Bag/Basket 01 Brown Water
80013,Bag,Bag/Basket 01 Green Tomato
80014,Bag,Bag/Basket 01 Green Vege
80015,Bag,Bag/Basket 01 Green Water
80016,Bag,Bag/Basket 01 Purple Tomato
80017,Bag,Bag/Basket 01 Purple Vege
80018,Bag,Bag/Basket 01 Purple Water
80019,Bag,Bag/Sack 01 Black
80020,Bag,Bag/Sack 01 Blue
80021,Bag,Bag/Sack 01 Brown
80022,Bag,Bag/Sack 01 Green
80023,Bag,Bag/Sack 01 Magenta
80024,Bag,Bag/Sack 01 Purple
80025,Bag,Bag/Sack 01 Red
80026,Bag,Bag/Sack 01 White
//Wing,,
70001,Wing,Wing/Back Prop 01 Black
70002,Wing,Wing/Back Prop 01 Blue
70003,Wing,Wing/Back Prop 01 Green
70004,Wing,Wing/Back Prop 01 Magenta
70005,Wing,Wing/Back Prop 01 Purple
70006,Wing,Wing/Back Prop 01 Red
70007,Wing,Wing/Back Prop 01 White
70008,Wing,Wing/Back Prop 01 Yellow
70009,Wing,Wing/Back Prop 02 Blue
70010,Wing,Wing/Back Prop 02 Green
70011,Wing,Wing/Back Prop 02 Magenta
70012,Wing,Wing/Back Prop 02 Purple
70013,Wing,Wing/Back Prop 02 Red
70014,Wing,Wing/Back Prop 02 Yellow
70015,Wing,Wing/Wings 01 Black
70016,Wing,Wing/Wings 01 Gold
70017,Wing,Wing/Wings 01 White
70018,Wing,Wing/Wings 02 Dragon Black
70019,Wing,Wing/Wings 02 Dragon Blue
70020,Wing,Wing/Wings 02 Dragon Green
70021,Wing,Wing/Wings 02 Dragon Purple
70022,Wing,Wing/Wings 02 Dragon Red
70023,Wing,Wing/Wings 02 Dragon White
70024,Wing,Wing/Wings 03 Bone Black
70025,Wing,Wing/Wings 03 Bone Blue
70026,Wing,Wing/Wings 03 Bone Green
70027,Wing,Wing/Wings 03 Bone Purple
70028,Wing,Wing/Wings 03 Bone Red
70029,Wing,Wing/Wings 03 Bone White
70030,Wing,Wing/Wings 04 Dragonfly Blue
70031,Wing,Wing/Wings 04 Dragonfly Brown
70032,Wing,Wing/Wings 04 Dragonfly Grey
70033,Wing,Wing/Wings 04 Dragonfly Purple
70034,Wing,Wing/Wings 04 Dragonfly White
70035,Wing,Wing/Wings 05 Butterfly Blue
70036,Wing,Wing/Wings 05 Butterfly Green
70037,Wing,Wing/Wings 05 Butterfly Orange
70038,Wing,Wing/Wings 05 Butterfly Purple
70039,Wing,Wing/Wings 05 Butterfly Rainbow
70040,Wing,Wing/Wings 05 Butterfly Red
70041,Wing,Wing/Wings 05 Butterfly Yellow
70042,Wing,Wing/Wings 06 Leaves Blue
70043,Wing,Wing/Wings 06 Leaves Brown Green
70044,Wing,Wing/Wings 06 Leaves Brown
70045,Wing,Wing/Wings 06 Leaves Green Yellow
70046,Wing,Wing/Wings 06 Leaves Green
70047,Wing,Wing/Wings 06 Leaves Mint
70048,Wing,Wing/Wings 06 Leaves Purple
70049,Wing,Wing/Wings 06 Leaves Yellow
70050,Wing,Wing/Wings 07 Love Blue
70051,Wing,Wing/Wings 07 Love Green
70052,Wing,Wing/Wings 07 Love Orange
70053,Wing,Wing/Wings 07 Love Pink
70054,Wing,Wing/Wings 07 Love Purple
70055,Wing,Wing/Wings 07 Love Yellow
70056,Wing,Wing/Wings 08 Black
70057,Wing,Wing/Wings 08 Blue
70058,Wing,Wing/Wings 08 Brown
70059,Wing,Wing/Wings 08 Green
70060,Wing,Wing/Wings 08 Magenta
70061,Wing,Wing/Wings 08 Purple
70062,Wing,Wing/Wings 08 Red
70063,Wing,Wing/Wings 08 White
70064,Wing,Wing/Wings 09 Black Red
70065,Wing,Wing/Wings 09 Black
70066,Wing,Wing/Wings 09 Blue
70067,Wing,Wing/Wings 09 Gold White
70068,Wing,Wing/Wings 09 Green
70069,Wing,Wing/Wings 09 Magenta
70070,Wing,Wing/Wings 09 Purple
70071,Wing,Wing/Wings 09 Red
70072,Wing,Wing/Wings 09 White
70073,Wing,Wing/Wings 09 Yellow
70074,Wing,Wing/Wings 10 Black Purple
70075,Wing,Wing/Wings 10 Gold White
70076,Wing,Wing/Wings 10 Purple Green
70077,Wing,Wing/Wings 10 Purple Magenta
70078,Wing,Wing/Wings 10 Purple Red
70079,Wing,Wing/Wings 10 Red Yellow
70080,Wing,Wing/Wings 10 White Black
70081,Wing,Wing/Wings 10 White Blue
70082,Wing,Wing/Wings 11 Blue
70083,Wing,Wing/Wings 11 Green
70084,Wing,Wing/Wings 11 Purple
70085,Wing,Wing/Wings 11 Red
70086,Wing,Wing/Wings 11 Yellow
10001,Jacket,Jacket/Jacket 01 Black
10002,Jacket,Jacket/Jacket 01 Blue
10003,Jacket,Jacket/Jacket 01 Green
10004,Jacket,Jacket/Jacket 01 Magenta
10005,Jacket,Jacket/Jacket 01 Purple
10006,Jacket,Jacket/Jacket 01 Red
10007,Jacket,Jacket/Jacket 01 White
10008,Jacket,Jacket/Jacket 01 Yellow
51001,Face,Face/Female/Face Black 21
51002,Face,Face/Female/Face Black 22
51003,Face,Face/Female/Face Black 23
51004,Face,Face/Female/Face Black 24
51005,Face,Face/Female/Face Black 25
51006,Face,Face/Female/Face Black 26
51007,Face,Face/Female/Face Black 27
51008,Face,Face/Female/Face Black 28
51009,Face,Face/Female/Face Black 29
51010,Face,Face/Female/Face Black 30
51011,Face,Face/Female/Face Black 31
51012,Face,Face/Female/Face Black 32
51013,Face,Face/Female/Face Black 33
51014,Face,Face/Female/Face Black 34
51015,Face,Face/Female/Face Black 35
51016,Face,Face/Female/Face Black 36
51017,Face,Face/Female/Face Black 37
51018,Face,Face/Female/Face Black 38
51019,Face,Face/Female/Face Brown 21
51020,Face,Face/Female/Face Brown 22
51021,Face,Face/Female/Face Brown 23
51022,Face,Face/Female/Face Brown 24
51023,Face,Face/Female/Face Brown 25
51024,Face,Face/Female/Face Brown 26
51025,Face,Face/Female/Face Brown 27
51026,Face,Face/Female/Face Brown 28
51027,Face,Face/Female/Face Brown 29
51028,Face,Face/Female/Face Brown 30
51029,Face,Face/Female/Face Brown 31
51030,Face,Face/Female/Face Brown 32
51031,Face,Face/Female/Face Brown 33
51032,Face,Face/Female/Face Brown 34
51033,Face,Face/Female/Face Brown 35
51034,Face,Face/Female/Face Brown 36
51035,Face,Face/Female/Face Brown 37
51036,Face,Face/Female/Face Brown 38
51037,Face,Face/Female/Face White 21
51038,Face,Face/Female/Face White 22
51039,Face,Face/Female/Face White 23
51040,Face,Face/Female/Face White 24
51041,Face,Face/Female/Face White 25
51042,Face,Face/Female/Face White 26
51043,Face,Face/Female/Face White 27
51044,Face,Face/Female/Face White 28
51045,Face,Face/Female/Face White 29
51046,Face,Face/Female/Face White 30
51047,Face,Face/Female/Face White 31
51048,Face,Face/Female/Face White 32
51049,Face,Face/Female/Face White 33
51050,Face,Face/Female/Face White 34
51051,Face,Face/Female/Face White 35
51052,Face,Face/Female/Face White 36
51053,Face,Face/Female/Face White 37
51054,Face,Face/Female/Face White 38
52001,Face,Face/Male/Face Black 01
52002,Face,Face/Male/Face Black 02
52003,Face,Face/Male/Face Black 03
52004,Face,Face/Male/Face Black 04
52005,Face,Face/Male/Face Black 05
52006,Face,Face/Male/Face Black 06
52007,Face,Face/Male/Face Black 07
52008,Face,Face/Male/Face Black 08
52009,Face,Face/Male/Face Black 09
52010,Face,Face/Male/Face Black 10
52011,Face,Face/Male/Face Black 11
52012,Face,Face/Male/Face Black 12
52013,Face,Face/Male/Face Black 13
52014,Face,Face/Male/Face Black 14
52015,Face,Face/Male/Face Black 15
52016,Face,Face/Male/Face Black 19
52017,Face,Face/Male/Face Black 20
52018,Face,Face/Male/Face Brown 01
52019,Face,Face/Male/Face Brown 02
52020,Face,Face/Male/Face Brown 03
52021,Face,Face/Male/Face Brown 04
52022,Face,Face/Male/Face Brown 05
52023,Face,Face/Male/Face Brown 06
52024,Face,Face/Male/Face Brown 07
52025,Face,Face/Male/Face Brown 08
52026,Face,Face/Male/Face Brown 09
52027,Face,Face/Male/Face Brown 10
52028,Face,Face/Male/Face Brown 11
52029,Face,Face/Male/Face Brown 12
52030,Face,Face/Male/Face Brown 13
52031,Face,Face/Male/Face Brown 14
52032,Face,Face/Male/Face Brown 15
52033,Face,Face/Male/Face Brown 19
52034,Face,Face/Male/Face Brown 20
52035,Face,Face/Male/Face White 01
52036,Face,Face/Male/Face White 02
52037,Face,Face/Male/Face White 03
52038,Face,Face/Male/Face White 04
52039,Face,Face/Male/Face White 05
52040,Face,Face/Male/Face White 06
52041,Face,Face/Male/Face White 07
52042,Face,Face/Male/Face White 08
52043,Face,Face/Male/Face White 09
52044,Face,Face/Male/Face White 10
52045,Face,Face/Male/Face White 11
52046,Face,Face/Male/Face White 12
52047,Face,Face/Male/Face White 13
52048,Face,Face/Male/Face White 14
52049,Face,Face/Male/Face White 15
52050,Face,Face/Male/Face White 19
52051,Face,Face/Male/Face White 20
53001,Face,Face/One Eyed/Face Black 16
53002,Face,Face/One Eyed/Face Black 17
53003,Face,Face/One Eyed/Face Black 18
53004,Face,Face/One Eyed/Face Brown 16
53005,Face,Face/One Eyed/Face Brown 17
53006,Face,Face/One Eyed/Face Brown 18
53007,Face,Face/One Eyed/Face White 16
53008,Face,Face/One Eyed/Face White 17
53009,Face,Face/One Eyed/Face White 18
110001,Quiver,Quiver/Quiver 01 Blue Arrow Black
110002,Quiver,Quiver/Quiver 01 Blue Arrow Blue
110003,Quiver,Quiver/Quiver 01 Blue Arrow Green
110004,Quiver,Quiver/Quiver 01 Blue Arrow Purple
110005,Quiver,Quiver/Quiver 01 Blue Arrow Red
110006,Quiver,Quiver/Quiver 01 Blue Arrow White
110007,Quiver,Quiver/Quiver 01 Blue Arrow Yellow
110008,Quiver,Quiver/Quiver 01 Green Arrow Black
110009,Quiver,Quiver/Quiver 01 Green Arrow Blue
110010,Quiver,Quiver/Quiver 01 Green Arrow Green
110011,Quiver,Quiver/Quiver 01 Green Arrow Purple
110012,Quiver,Quiver/Quiver 01 Green Arrow Red
110013,Quiver,Quiver/Quiver 01 Green Arrow White
110014,Quiver,Quiver/Quiver 01 Green Arrow Yellow
110015,Quiver,Quiver/Quiver 01 Purple Arrow Black
110016,Quiver,Quiver/Quiver 01 Purple Arrow Blue
110017,Quiver,Quiver/Quiver 01 Purple Arrow Green
110018,Quiver,Quiver/Quiver 01 Purple Arrow Purple
110019,Quiver,Quiver/Quiver 01 Purple Arrow Red
